index,Trend Start Time,1M Vol Open,1Y Vol Open,DXY Open,Daily Trend #,Previous Day DXY Trend,Previous Day RR,Previous Day RR MAVG,Previous Day SPY Trend,Trend Start,Trend Type,USDMXNV1M Tick,USDMXNV1Y Tick,SPX Tick,DXY Tick,V1M Change,V1Y Change,DXY Change,SPX Change,Target,MXEF Tick,MXEF CCY Tick,BBDXY Tick,USDMXN RSI,USDMXN MACD,USDMXN ROC 4,USDMXN ROC 10,Day Start,MXEF Change,MXEF CCY Change,BBDXY Change,Abs Max Trend Sz,CCY,Max Trend Size,SPX Open,Trend End Time,Trend Extreme,Target New,Target Dif,RR Divergence
42,2019-05-29 07:00:00,9.273,11.3,97.92299999999999,2.0,-0.11,0.84,0.9258,-1.33,19.2651,Down,9.44,11.357999999999999,2802.39,98.001,0.085,0.035,0.084,-28.54,0,984.22,1610.76,1208.12,31.0513293,-0.000689429,-0.049406087,-0.05772230900000001,,0.00999999999999,-1.21,1.08,0.0024085003451838807,USDMXN,-0.0024085003451838807,2790.25,2019-05-29 07:12:00,19.2187,0,0,-0.08579999999999999
43,2019-05-29 09:39:00,9.273,11.3,97.92299999999999,3.0,-0.11,0.84,0.9258,-1.33,19.2187,Up,9.41,11.357999999999999,2779.5,98.04,0.055,0.035,0.123,-6.16,0,982.89,1611.08,1208.59,72.20883542,0.000830633,0.078430965,0.142929907,,-1.32,-0.89,1.55,0.002653665440430515,USDMXN,0.002653665440430515,2790.25,2019-05-29 09:45:00,19.2697,0,0,-0.08579999999999999
44,2019-05-29 11:34:00,9.273,11.3,97.92299999999999,4.0,-0.11,0.84,0.9258,-1.33,19.2697,Down,9.45,11.398,2777.28,98.175,0.095,0.075,0.258,-8.38,1,984.41,1611.53,1209.77,28.75657214,-0.001098853,-0.102379678,-0.09926461,,0.2,-0.44,2.73,0.002958011800910165,USDMXN,-0.002958011800910165,2790.25,2019-05-29 11:43:00,19.2127,1,1,-0.08579999999999999
45,2019-05-29 13:24:00,9.273,11.3,97.92299999999999,5.0,-0.11,0.84,0.9258,-1.33,19.2127,Down,9.395,11.383,2780.8,98.197,0.04,0.06,0.28,-4.86,1,985.72,1612.42,1209.69,21.25826552,-0.002135779,-0.110992418,-0.13961241900000002,,1.51,0.45,2.65,0.004106658616436047,USDMXN,-0.004106658616436047,2790.25,2019-05-29 14:42:00,19.1338,1,0,-0.08579999999999999
46,2019-05-30 10:13:00,9.368,11.377,98.131,1.0,0.11,0.665,0.8798,-2.84,19.1274,Down,9.243,11.33,2794.45,98.215,-0.254,-0.05,0.091,4.01,1,995.11,1615.86,1209.28,15.66106931,-0.002747759,-0.172688073,-0.17321046399999998,,5.55,1.02,0.64,0.0038635674477452155,USDMXN,-0.0038635674477452155,2786.94,2019-05-30 10:26:00,19.0535,1,0,-0.2148
47,2019-05-30 11:57:00,9.368,11.377,98.131,2.0,0.11,0.665,0.8798,-2.84,19.0535,Up,9.202,11.312999999999999,2785.25,98.131,-0.295,-0.067,0.00700000000001,-5.19,0,995.05,1615.69,1208.73,81.89836669,0.002596836,0.035096726,0.151563623,,5.49,0.85,0.0899999999999,0.002687170336158788,USDMXN,0.002687170336158788,2786.94,2019-05-30 12:15:00,19.1047,0,0,-0.2148
48,2019-05-30 12:49:00,9.368,11.377,98.131,3.0,0.11,0.665,0.8798,-2.84,19.1047,Down,9.202,11.25,2792.09,98.137,-0.295,-0.13,0.013,1.65,0,995.66,1616.08,1208.51,25.48737061,-0.000852188,-0.07601134400000001,-0.057150347,,6.1,1.24,-0.13,0.002413018785953336,USDMXN,-0.002413018785953336,2786.94,2019-05-30 12:58:00,19.0586,0,0,-0.2148
49,2019-05-31 00:50:00,9.218,11.27,98.162,1.0,0.29,0.5575,0.8338,-2.36,19.5947,Down,10.82,11.738,2788.86,98.152,1.565,0.33,0.015,-1.58,0,997.18,1612.28,1211.24,37.68974204,-0.001400894,-0.04653113,-0.131810867,,-0.36,-0.2,-0.14,0.0024139180492684193,USDMXN,-0.0024139180492684193,2766.15,2019-05-31 01:07:00,19.5474,0,0,-0.2763
50,2019-05-31 01:10:00,9.218,11.27,98.162,2.0,0.29,0.5575,0.8338,-2.36,19.5474,Up,10.915,11.6,2788.86,98.098,1.66,0.192,-0.039,-1.58,1,996.93,1612.13,1210.85,75.01750143,0.004778964,0.182554536,0.217402425,,-0.61,-0.35,-0.53,0.004737202901664718,USDMXN,0.004737202901664718,2766.15,2019-05-31 01:32:00,19.64,1,0,-0.2763
51,2019-05-31 01:35:00,9.218,11.27,98.162,3.0,0.29,0.5575,0.8338,-2.36,19.64,Down,10.935,11.615,2788.86,98.11399999999999,1.68,0.207,-0.023,-1.58,0,996.9,1611.73,1211.14,35.89622768,-0.007047472,-0.118259345,-0.222015144,,-0.64,-0.75,-0.24,0.0023676171079430627,USDMXN,-0.0023676171079430627,2766.15,2019-05-31 01:54:00,19.5935,0,0,-0.2763
